,0,1,2
[[ 40.  57.]],-9.996818094319396,-9.996746365466636,-9.996265939112524
[[ 41.  58.]],-9.996516064640296,-9.996235037424643,-9.995623652889293
[[ 42.  58.]],-9.996317028598641,-9.995970676947096,-9.995404847017511
[[ 43.  58.]],-9.996043932332253,-9.995477009351172,-9.995151233446226
[[ 44.  57.]],-9.995691004005453,-9.995662358531359,-9.995503315590927
[[ 44.  56.]],-9.99605284533033,-9.996054282841246,-9.996012047021145
[[ 45.  55.]],-9.995854474880902,-9.995744438135533,-9.995720626534228
[[ 45.  54.]],-9.99606246022426,-9.996089391384636,-9.996139679114954
[[ 45.  52.]],-9.995946017690096,-9.995933638926882,-9.995950328677734
[[ 45.  51.]],-9.995905809672488,-9.99590798835402,-9.995978606656614
[[ 45.  49.]],-9.995610381649824,-9.995850721396558,-9.996658479499237
[[ 45.  48.]],-9.995808630605817,-9.995424163433366,-9.995522521409008
[[ 45.  47.]],-9.994973292663555,-9.99502979996258,-9.99498313994635
[[ 44.  47.]],-9.996178708677418,-9.996249355893566,-9.996211289372237
[[ 44.  46.]],-9.995439151775924,-9.99541856832302,-9.995494399701355
[[ 44.  44.]],-9.994639074540553,-9.995452396662316,-9.99491734788063
[[ 43.  44.]],-9.996379423050367,-9.996374465252957,-9.99644495126798
[[ 43.  42.]],-9.994057347020656,-9.994803096183604,-9.995044508969276
[[ 42.  42.]],-9.995707601532047,-9.995715497331583,-9.995750670620039
[[ 41.  42.]],-9.99622108364436,-9.996342654835747,-9.996446695428896
[[ 40.  42.]],-9.996596053820452,-9.996649232343838,-9.99679989170854
[[ 39.  41.]],-9.99631539536152,-9.996547600997896,-9.996479399936993
[[ 38.  40.]],-9.99597323643736,-9.996189505044146,-9.996438414437275
[[ 37.  39.]],-9.995380523071448,-9.99549112814782,-9.995499818854496
[[ 37.  40.]],-9.99603519892,-9.99605464750678,-9.996168740687294
[[ 36.  40.]],-9.996061502205269,-9.996139283765793,-9.996137330259597
[[ 35.  40.]],-9.996035394637476,-9.996039451414862,-9.996066963468706
[[ 34.  41.]],-9.996514181461608,-9.996537163088217,-9.996532558204905
[[ 34.  40.]],-9.995996203366596,-9.99607106999191,-9.996069620785358
[[ 32.  41.]],-9.99596750761696,-9.995967738454773,-9.995976878903353
[[ 31.  40.]],-9.9951890519286,-9.995209129965767,-9.995238609942424
[[ 30.  41.]],-9.994883431473905,-9.994876849388325,-9.994889579349355
[[ 30.  42.]],-9.9951096638265,-9.995163651720157,-9.995160891200852
[[ 29.  44.]],-9.994651808025964,-9.994636455142874,-9.99461720676495
[[ 29.  45.]],-9.994512057500014,-9.994531584968943,-9.994509841924256
[[ 28.  46.]],-9.993280129583544,-9.993286189348105,-9.993301096116381
[[ 28.  48.]],-9.99301810706182,-9.99305006933218,-9.993037896199633
[[ 28.  49.]],-9.99303447649457,-9.993044914363592,-9.993026560776805
[[ 28.  50.]],-9.992807952333207,-9.99278421964652,-9.99278975711243
[[ 28.  51.]],-9.992312958431892,-9.992296554702158,-9.992274433602864
[[ 29.  53.]],-9.992531577584792,-9.992554782126527,-9.992512707626359
[[ 29.  54.]],-9.992111914613494,-9.99208752197598,-9.992114921936293
[[ 29.  55.]],-9.991311255954193,-9.991303013120104,-9.991311138835332
[[ 30.  56.]],-9.991607711789847,-9.991611254567237,-9.99160776934712
[[ 31.  56.]],-9.992294080575725,-9.992310789786613,-9.992281683501348
[[ 32.  58.]],-9.991396901752198,-9.99132995774106,-9.991346106662016
[[ 33.  59.]],-9.990900657066335,-9.99091043149847,-9.990878405027473
[[ 34.  58.]],-9.992794541786186,-9.992939893518187,-9.992356731129783
[[ 34.  59.]],-9.991442631589873,-9.991383123260857,-9.991380748860928
[[ 36.  59.]],-9.994536336528244,-9.993439201341825,-9.993124232371976
[[ 37.  59.]],-9.995118143456496,-9.994464383869962,-9.993746166435324
[[ 38.  59.]],-9.995130589605155,-9.994948294152596,-9.994179054757756
[[ 39.  59.]],-9.996158735131788,-9.994964085479099,-9.994810728451313
[[ 40.  60.]],-9.994387004815954,-9.994223596724273,-9.993796632599684
[[ 41.  60.]],-9.994086147148108,-9.99406162127326,-9.994024163539681
[[ 42.  60.]],-9.993829123094812,-9.99377525512064,-9.993754717170619
[[ 43.  59.]],-9.994801205963293,-9.994969450986169,-9.994677874216213
[[ 45.  56.]],-9.995961219700904,-9.995481537678963,-9.995036985861107
[[ 46.  55.]],-9.995088265459168,-9.995100959220695,-9.99484458507548
[[ 46.  54.]],-9.995217122468027,-9.994950918212473,-9.995095124877682
[[ 47.  54.]],-9.994134738546958,-9.994409113350017,-9.993788848408098
[[ 47.  52.]],-9.994002684464427,-9.993995392679057,-9.994237470476993
[[ 47.  51.]],-9.993900750012262,-9.993905267648381,-9.993888899093651
[[ 47.  50.]],-9.993665072586612,-9.993652407843477,-9.993650170768554
[[ 47.  48.]],-9.994281263903313,-9.993911038663027,-9.993846032914512
[[ 47.  47.]],-9.992721009433557,-9.992902886175157,-9.992786327393953
[[ 46.  46.]],-9.99366493941383,-9.994753391843405,-9.993841354139255
[[ 46.  44.]],-9.992999803790926,-9.99308343696024,-9.993072391147138
[[ 46.  43.]],-9.992026998492024,-9.990659125435078,-9.991999375597754
[[ 45.  43.]],-9.992637514091072,-9.992794381728855,-9.992830651101812
[[ 44.  42.]],-9.994024732617707,-9.993688154528499,-9.993807705034186
[[ 43.  41.]],-9.993592516729183,-9.993829459733847,-9.993882968739603
[[ 41.  41.]],-9.995633677430867,-9.996109680509061,-9.995719278952958
[[ 41.  40.]],-9.994126692688699,-9.994187820739366,-9.994449971031699
[[ 40.  40.]],-9.995309525144977,-9.995698499745004,-9.996014039475636
[[ 39.  39.]],-9.99492480138545,-9.995028334391774,-9.995740478797446
[[ 38.  39.]],-9.99518273886872,-9.995269353978843,-9.99535961078653
[[ 37.  38.]],-9.99451849146054,-9.994707143800394,-9.995110836767497
[[ 31.  41.]],-9.995417589623962,-9.995508056974675,-9.9954816033086
[[ 30.  43.]],-9.995328627195553,-9.995345898079934,-9.995330813012698
[[ 29.  43.]],-9.994569448372264,-9.994577007349427,-9.994531628802813
[[ 28.  44.]],-9.993563848816084,-9.993554542448214,-9.993571235044296
[[ 28.  52.]],-9.992208381045515,-9.992155995321808,-9.992143063539801
[[ 29.  56.]],-9.989940537682813,-9.989959029979833,-9.989840523491658
[[ 31.  57.]],-9.991791611402698,-9.99187491022023,-9.99172648341928
[[ 32.  60.]],-9.988562917416882,-9.988508141578015,-9.988500241546523
[[ 33.  60.]],-9.98958068872062,-9.990336543264457,-9.989473627604973
[[ 34.  61.]],-9.989550367545812,-9.989716009231392,-9.988588354597836
[[ 35.  61.]],-9.991417270649057,-9.989863954301619,-9.989533726835033
[[ 36.  62.]],-9.989568511671497,-9.988881928655672,-9.988457715158033
[[ 37.  62.]],-9.990847261891913,-9.98873122157366,-9.988244366662622
[[ 38.  61.]],-9.992020678383321,-9.991786557569323,-9.990561913107461
[[ 39.  60.]],-9.993838879557023,-9.993514530159034,-9.99293388095213
[[ 40.  59.]],-9.995919267484396,-9.995417463430153,-9.994906126769072
[[ 44.  58.]],-9.995521032770569,-9.99515866769437,-9.994734016005543
[[ 46.  53.]],-9.994985425709668,-9.995012889467095,-9.99516614061725
[[ 47.  53.]],-9.994273834365352,-9.993691602203489,-9.994380630498963
[[ 46.  45.]],-9.992725251516301,-9.992696497222882,-9.992731102954068
[[ 45.  44.]],-9.993552367525185,-9.993520996162648,-9.994095407123863
[[ 45.  42.]],-9.991869302611594,-9.993532414317224,-9.992251779191543
[[ 39.  40.]],-9.99560558228058,-9.996191827341004,-9.99653510900923
[[ 36.  38.]],-9.994695155080972,-9.994731302763203,-9.994750445763586
[[ 35.  37.]],-9.993727129227967,-9.993800499491991,-9.994266074956334
[[ 34.  37.]],-9.993913571830428,-9.993996595949039,-9.993991753752084
[[ 33.  37.]],-9.993776959797321,-9.993816785350939,-9.993837708477932
[[ 32.  38.]],-9.994121781123317,-9.99420299651766,-9.994226752360065
[[ 31.  37.]],-9.993033315233005,-9.993043071743909,-9.993093773365397
[[ 30.  39.]],-9.994086077311636,-9.994113559096352,-9.994110473264493
[[ 30.  40.]],-9.994498444438005,-9.994526703153149,-9.994533704165152
[[ 29.  41.]],-9.994217454046304,-9.994207934072474,-9.99422736712644
[[ 28.  42.]],-9.993628122419427,-9.993639338256477,-9.99362015084976
[[ 27.  43.]],-9.992767693977274,-9.992743463169036,-9.992765906502974
[[ 27.  44.]],-9.992829458132595,-9.992804319291807,-9.992826252695213
[[ 27.  45.]],-9.99286242370998,-9.992874220529162,-9.9928673263723
[[ 26.  46.]],-9.991748342406401,-9.991777653356786,-9.99175369722852
[[ 26.  47.]],-9.99160766043132,-9.991599077947424,-9.991575879372123
[[ 26.  48.]],-9.991220858721784,-9.991217935513722,-9.991193968050203
[[ 26.  50.]],-9.990371729811999,-9.990234587361654,-9.990245504016068
[[ 26.  52.]],-9.989104665142534,-9.989152954022085,-9.989088792021759
[[ 26.  53.]],-9.988336015622645,-9.988061652079848,-9.98806119728864
[[ 27.  54.]],-9.989546005353596,-9.988856733416613,-9.98887535294369
[[ 27.  56.]],-9.986705587601922,-9.986764906570858,-9.986689260592
[[ 28.  56.]],-9.988469782304284,-9.988349055713842,-9.988345722394577
[[ 29.  58.]],-9.988091212496617,-9.988004361103986,-9.9879468623277
[[ 30.  58.]],-9.989091007734773,-9.989027917665117,-9.988939696365847
[[ 30.  59.]],-9.988415677033199,-9.987766980132472,-9.9875406919362
[[ 31.  61.]],-9.987239844360872,-9.985892808144484,-9.985770363256764
[[ 32.  61.]],-9.988761945770703,-9.987361596224671,-9.987089447181091
[[ 33.  61.]],-9.988881959371136,-9.987921913724726,-9.987909825963557
[[ 36.  60.]],-9.99225167544657,-9.99210797834492,-9.992011723783026
[[ 37.  61.]],-9.992828137510788,-9.991496511361005,-9.99189637887266
[[ 39.  61.]],-9.993319838091779,-9.991860547674284,-9.991108687319244
[[ 41.  61.]],-9.9929209880308,-9.992426480147984,-9.99166665313326
[[ 43.  60.]],-9.993629350913878,-9.993446772084116,-9.99342849217348
[[ 45.  57.]],-9.994883955359914,-9.994892022357089,-9.99486111786872
[[ 47.  49.]],-9.994210315260126,-9.993693752132039,-9.993840300906689
[[ 46.  48.]],-9.993990153960445,-9.994459401608887,-9.993981051599397
[[ 46.  47.]],-9.994398913143932,-9.994355630058797,-9.994522272878415
[[ 44.  43.]],-9.993770333859553,-9.994469491858153,-9.993915054528234
[[ 42.  40.]],-9.992914610150722,-9.993415270588583,-9.993660262724953
[[ 41.  39.]],-9.992960693318961,-9.993469867089036,-9.993049333439604
[[ 40.  39.]],-9.99405282477502,-9.994102134571047,-9.994371575794274
[[ 40.  38.]],-9.992496317262702,-9.993265437405727,-9.993615372229574
[[ 38.  38.]],-9.994448535232738,-9.994485488607047,-9.994557057567407
[[ 32.  37.]],-9.993323129460805,-9.993489428679037,-9.99348972984556
[[ 31.  38.]],-9.99369336181609,-9.993760672264914,-9.993791009569227
[[ 31.  39.]],-9.994651359473806,-9.994668776990224,-9.994687339964539
[[ 29.  39.]],-9.993224553488727,-9.993264224152602,-9.993406136081637
[[ 28.  40.]],-9.99298876848956,-9.992980676738284,-9.993009474000566
[[ 27.  41.]],-9.992361723563137,-9.992345330638743,-9.992399287405581
[[ 26.  42.]],-9.991589812732482,-9.99158354570377,-9.991625931466318
[[ 26.  44.]],-9.99190122384275,-9.991899721662772,-9.991898506195028
[[ 26.  45.]],-9.991605828371656,-9.991649902395887,-9.991645729557417
[[ 25.  47.]],-9.990090109589325,-9.990097800687098,-9.990110490586725
[[ 25.  49.]],-9.989162525449725,-9.989168704407016,-9.989152691199859
[[ 25.  51.]],-9.988345477536337,-9.98828507830988,-9.988295148174505
[[ 25.  53.]],-9.987037080426084,-9.98706148898879,-9.98704961491414
[[ 26.  55.]],-9.986997850611989,-9.986512427176134,-9.986457702606364
[[ 29.  57.]],-9.98928764858893,-9.988922811675554,-9.988788521162574
[[ 31.  59.]],-9.988915055346203,-9.989497119959422,-9.988867486269713
[[ 35.  60.]],-9.990804803826675,-9.99076365862528,-9.990804549955259
[[ 36.  61.]],-9.991497703188617,-9.989816276911013,-9.989744894067645
[[ 40.  62.]],-9.991009650731927,-9.991671155060763,-9.989428857257597
[[ 42.  61.]],-9.992621555115171,-9.992595247779967,-9.992436745284436
[[ 43.  61.]],-9.993045992215343,-9.992146488247894,-9.99200299341595
[[ 44.  61.]],-9.991684172727883,-9.991508845682823,-9.991396226386966
[[ 45.  61.]],-9.99078739897335,-9.990780716097555,-9.99072403549726
[[ 45.  59.]],-9.993807859931447,-9.993798832360703,-9.993781297432543
[[ 46.  59.]],-9.993699165306158,-9.993397666638266,-9.993067002300279
[[ 47.  58.]],-9.992996399793793,-9.992975916660468,-9.992932389673935
[[ 47.  56.]],-9.99356922418815,-9.993199328680523,-9.993202385073452
[[ 48.  55.]],-9.992799073966138,-9.992830709749141,-9.99276605017491
[[ 48.  54.]],-9.993081998467435,-9.993073341888149,-9.993077765386346
[[ 48.  53.]],-9.99277784957842,-9.992776059364047,-9.992870914595633
[[ 49.  53.]],-9.992265968242476,-9.992376108781047,-9.992275659617556
[[ 49.  52.]],-9.992119590336491,-9.992099873092947,-9.992108543794314
[[ 49.  50.]],-9.991803820765185,-9.991800950902892,-9.991804333993855
[[ 49.  49.]],-9.99162512905007,-9.991634386470844,-9.991643740873574
[[ 48.  47.]],-9.991881841371358,-9.9926211045332,-9.992438930866047
[[ 48.  45.]],-9.991691286974113,-9.99110157957366,-9.991598725079676
[[ 47.  44.]],-9.991980456013307,-9.990867580494253,-9.99181388464723
[[ 44.  40.]],-9.991789087261372,-9.991520393547088,-9.991562539872142
[[ 43.  40.]],-9.9915866648458,-9.993381401861251,-9.992892565182071
[[ 42.  38.]],-9.99080525156108,-9.991179519423945,-9.990801480629598
[[ 41.  37.]],-9.990171196709623,-9.9907496475133,-9.99147001351966
[[ 40.  36.]],-9.99007929895074,-9.99105469091513,-9.991176575334617
[[ 39.  36.]],-9.990495204748695,-9.991051803293068,-9.990969192653424
[[ 38.  37.]],-9.993127728884632,-9.993107218533694,-9.993200538132086
[[ 35.  38.]],-9.994868569622588,-9.99490452224602,-9.994893668303453
[[ 34.  38.]],-9.99474943387219,-9.994828175709749,-9.99491708801022
[[ 33.  38.]],-9.994403128994858,-9.99445507456695,-9.994460862958377
[[ 32.  39.]],-9.99498741717638,-9.99499686645342,-9.99499153085188
[[ 29.  42.]],-9.994379384046356,-9.99447442360569,-9.994472345511833
[[ 28.  43.]],-9.993780552849767,-9.993793548951324,-9.99356610925851
[[ 26.  49.]],-9.991074277209766,-9.990726469899624,-9.990725731220502
[[ 26.  51.]],-9.990331799167366,-9.98977443994946,-9.989763349483662
[[ 27.  52.]],-9.990474435509661,-9.990490184701358,-9.990327753763989
[[ 28.  55.]],-9.989484854286275,-9.989456051870805,-9.989480663787052
[[ 28.  57.]],-9.987426596592687,-9.987451490517664,-9.98731768157206
[[ 30.  60.]],-9.986542611939713,-9.986454484112839,-9.986308372272877
[[ 31.  60.]],-9.98753919977414,-9.987482747968905,-9.987358544243865
[[ 34.  60.]],-9.991583351850206,-9.990341042917214,-9.990318706366374
[[ 35.  59.]],-9.992579023182364,-9.992439356642684,-9.992161860053216
[[ 41.  56.]],-9.996856981707976,-9.996853637446641,-9.9967532185649
[[ 41.  55.]],-9.997328085905076,-9.997211494964064,-9.997046899291867
[[ 42.  54.]],-9.997631329594002,-9.99760599240624,-9.99713893805051
[[ 42.  53.]],-9.997893292313957,-9.997791901553855,-9.997618051079897
[[ 43.  53.]],-9.9975723561996,-9.997249694025113,-9.99725233343132
[[ 44.  54.]],-9.996459519669058,-9.996483417122821,-9.996451290205076
[[ 44.  52.]],-9.996618721890355,-9.996790865144957,-9.996617810034259
[[ 44.  50.]],-9.997187292057475,-9.997223640482673,-9.997244175699386
[[ 44.  49.]],-9.997451321857081,-9.997466212490501,-9.997451632519104
[[ 44.  48.]],-9.997132956816886,-9.997242668514883,-9.997240090483665
[[ 44.  45.]],-9.995700188992842,-9.995683601587514,-9.995648759719792
[[ 43.  45.]],-9.996561801717236,-9.996615050499047,-9.996849009706137
[[ 42.  44.]],-9.996875012993515,-9.99693973960415,-9.997007180689408
[[ 41.  43.]],-9.996739668171996,-9.996826248607894,-9.996938535600544
[[ 41.  44.]],-9.997224004868011,-9.997241589718122,-9.997252128983526
[[ 40.  43.]],-9.997017050750065,-9.997117782027004,-9.997122420919297
[[ 39.  43.]],-9.997206456443637,-9.997272889391622,-9.997647361795114
[[ 38.  42.]],-9.996866729664573,-9.996923090893775,-9.997013265287489
[[ 38.  41.]],-9.996443267239279,-9.99658467444187,-9.99670014331582
[[ 35.  39.]],-9.995429706078024,-9.995420914188957,-9.995516255334227
[[ 33.  43.]],-9.996910589056734,-9.99692083434421,-9.99692410860182
[[ 33.  44.]],-9.997122486765727,-9.99711910096827,-9.99711746889493
[[ 32.  44.]],-9.996640903177818,-9.996641614528716,-9.996726104785566
[[ 31.  47.]],-9.995832666712612,-9.995681749543943,-9.995773105146029
[[ 31.  48.]],-9.995745725425344,-9.995934821550712,-9.995747789942694
[[ 30.  49.]],-9.994603270610408,-9.994591792913825,-9.99458410828933
[[ 31.  51.]],-9.994655138903646,-9.994553227983824,-9.994540932106373
[[ 31.  52.]],-9.994063569574973,-9.994061785855623,-9.994047420101905
[[ 31.  53.]],-9.994037002658725,-9.994075455994619,-9.993840876528985
[[ 32.  53.]],-9.995127483152743,-9.99506547283111,-9.995101614395123
[[ 33.  53.]],-9.996412392608068,-9.996383719695684,-9.99636185009662
[[ 34.  54.]],-9.997198077561283,-9.99685418588027,-9.99673929530338
[[ 34.  55.]],-9.996266274649797,-9.996556324509669,-9.996259787992242
[[ 35.  55.]],-9.997418743599257,-9.996966292774248,-9.996706979478637
[[ 36.  56.]],-9.996832199853092,-9.996953603470462,-9.9965150183609
[[ 39.  56.]],-9.99720439578122,-9.997156850024162,-9.996893331442957
[[ 40.  56.]],-9.99702146046606,-9.997014010380095,-9.996736938754742
[[ 40.  55.]],-9.997404498714062,-9.997235159572725,-9.997126213960996
[[ 40.  54.]],-9.997752668981331,-9.997985707905169,-9.997554881654699
[[ 41.  54.]],-9.997825196444763,-9.997618672451141,-9.997608028723123
[[ 42.  55.]],-9.997437262613722,-9.997052728812656,-9.996770206851732
[[ 43.  52.]],-9.997617781009968,-9.997649137561384,-9.997194982435268
[[ 43.  51.]],-9.997691632085234,-9.997704869282902,-9.997694746913199
[[ 43.  50.]],-9.997781630919508,-9.997768173208364,-9.997767530121843
[[ 43.  49.]],-9.997947822410103,-9.997979551847706,-9.997982185728649
[[ 43.  48.]],-9.997721376530247,-9.99773318393754,-9.997773921784454
[[ 43.  47.]],-9.99745103604734,-9.997479602675439,-9.997457459148952
[[ 42.  46.]],-9.99756589172226,-9.997579539021297,-9.997572202348481
[[ 42.  45.]],-9.997215976940332,-9.997297479904264,-9.997275323105855
[[ 39.  42.]],-9.99676880852132,-9.996850114595297,-9.996873466986758
[[ 37.  41.]],-9.996490380516356,-9.996532188698195,-9.996660172144518
[[ 36.  41.]],-9.996644402132373,-9.996666096784953,-9.99668091269433
[[ 35.  41.]],-9.996640043835468,-9.996699878134928,-9.996702697362904
[[ 31.  42.]],-9.995790788003434,-9.99581404643932,-9.995808141975619
[[ 28.  45.]],-9.99341193520949,-9.99340903024109,-9.993423053783005
[[ 27.  47.]],-9.992397737238674,-9.992386965010967,-9.992380437202891
[[ 27.  48.]],-9.992146546905829,-9.992134470792113,-9.992128007910985
[[ 27.  49.]],-9.991772438510749,-9.9920865949516,-9.991737873648724
[[ 27.  51.]],-9.990926855905279,-9.990902703077962,-9.990848709338144
[[ 27.  53.]],-9.989940176446721,-9.989441347666093,-9.989478522146618
[[ 28.  54.]],-9.99076662093131,-9.990273500597432,-9.990208319193254
[[ 31.  58.]],-9.990610091569664,-9.990722404036868,-9.99056621990484
[[ 32.  59.]],-9.990208089542897,-9.990245510216564,-9.990096139114717
[[ 37.  60.]],-9.993209994218182,-9.992329396074977,-9.991969225512833
[[ 38.  60.]],-9.99312237475146,-9.99357273603398,-9.99251694483868
[[ 40.  61.]],-9.991472163663227,-9.992283230663961,-9.991143768411664
[[ 44.  60.]],-9.993113082012961,-9.993140348573492,-9.993078688878636
[[ 44.  59.]],-9.99481827383307,-9.994231370144758,-9.994224824200288
[[ 45.  58.]],-9.995211461816355,-9.994511562850269,-9.994419446360565
[[ 46.  58.]],-9.993923685386427,-9.993812035431112,-9.9937119035449
[[ 46.  57.]],-9.994093636294537,-9.994235410752642,-9.994064803880669
[[ 47.  57.]],-9.993873575696453,-9.993178182416358,-9.99318964692292
[[ 49.  51.]],-9.991875941107908,-9.991868830225304,-9.99187700680068
[[ 49.  48.]],-9.991342762445335,-9.991325254030707,-9.991323863066514
[[ 48.  44.]],-9.989577937442572,-9.989969479932164,-9.989938272869756
[[ 47.  42.]],-9.98837318091,-9.98969136378671,-9.990225098631043
[[ 46.  42.]],-9.990793818544953,-9.99100255726442,-9.992344072217264
[[ 46.  41.]],-9.989486769175539,-9.989866899199127,-9.989674988205822
[[ 45.  41.]],-9.990645434255056,-9.990612253106676,-9.991962265581305
[[ 43.  39.]],-9.991295992848626,-9.991554653574351,-9.99162925444718
[[ 42.  39.]],-9.991755724988957,-9.992421330401333,-9.993165415342123
[[ 39.  37.]],-9.991387815901072,-9.992127475628603,-9.99198159382292
[[ 37.  36.]],-9.990889685489208,-9.99232813265565,-9.992952547471814
[[ 36.  36.]],-9.99261252635118,-9.992682899015817,-9.9932157322597
[[ 35.  36.]],-9.99275457501968,-9.992877777774352,-9.992926497267867
[[ 30.  38.]],-9.993245673305358,-9.993268037906578,-9.993256355855076
[[ 28.  41.]],-9.993372166372133,-9.993426744849495,-9.993466769857312
[[ 27.  55.]],-9.987999859979967,-9.988028992668127,-9.987977738155069
[[ 29.  59.]],-9.98639241565948,-9.986460234351133,-9.986386811416537
[[ 38.  62.]],-9.989519886932257,-9.991591590639619,-9.987646659432915
[[ 39.  62.]],-9.990261839227022,-9.989732427295284,-9.989053399874713
[[ 41.  63.]],-9.987768675964576,-9.987510624087587,-9.98754425833609
[[ 46.  60.]],-9.991888910332943,-9.991829681141112,-9.991835458701061
[[ 47.  59.]],-9.992109970225414,-9.992099872882909,-9.992056067615003
[[ 48.  57.]],-9.992340908778381,-9.992323190873243,-9.992290700202142
[[ 49.  55.]],-9.991864119326037,-9.991851753771114,-9.991815341354432
[[ 49.  54.]],-9.992193904464873,-9.992051051968932,-9.992084795044267
[[ 50.  53.]],-9.990935931946716,-9.990964390619666,-9.990963480847313
[[ 50.  51.]],-9.99059538925616,-9.990662906919416,-9.990594592871409
[[ 50.  49.]],-9.989999244587644,-9.989996714020863,-9.98997645528767
[[ 50.  48.]],-9.98990419617487,-9.989839282768026,-9.989812493882118
[[ 49.  46.]],-9.990051956540405,-9.990706998490113,-9.990475427814586
[[ 49.  45.]],-9.988843911755355,-9.988903835450056,-9.988858757802682
[[ 49.  44.]],-9.988879006113171,-9.988834752018386,-9.98884870287812
[[ 48.  42.]],-9.988462100651876,-9.988565103957033,-9.989609655814515
[[ 47.  41.]],-9.9895207693024,-9.989081300000377,-9.989644883307273
[[ 46.  39.]],-9.98793567033704,-9.988032442295287,-9.98803315919367
[[ 45.  39.]],-9.988187697673835,-9.989448484900484,-9.990332797786998
[[ 44.  39.]],-9.99052293863618,-9.990932312127107,-9.990586762216164
[[ 43.  38.]],-9.99026537583955,-9.99086758099176,-9.990921889186351
[[ 40.  37.]],-9.99126269836845,-9.992108268090432,-9.991863974401523
[[ 37.  37.]],-9.993690095448397,-9.994012557411695,-9.994136463449856
[[ 27.  42.]],-9.992655524817721,-9.992684588437124,-9.992645681988783
[[ 30.  57.]],-9.990262050817751,-9.990243029917854,-9.99020580097823
[[ 38.  58.]],-9.996722760796283,-9.996302040107256,-9.995457923908543
[[ 39.  58.]],-9.996463014743767,-9.996532932107213,-9.995536684340417
[[ 41.  57.]],-9.99667743685657,-9.996591827911356,-9.996107542845694
[[ 42.  57.]],-9.99652192379004,-9.996403436491118,-9.996050496869303
[[ 43.  57.]],-9.995989557779597,-9.99592769025532,-9.995832897112015
[[ 43.  56.]],-9.996525246085351,-9.99652821634568,-9.996519484945953
[[ 44.  55.]],-9.996415683925475,-9.99642026739258,-9.996451770452335
[[ 45.  53.]],-9.995855624084873,-9.996119570010393,-9.995821658535618
[[ 46.  51.]],-9.994754149851595,-9.994760248858675,-9.99476419955884
[[ 46.  50.]],-9.994537952610827,-9.994557520131481,-9.994543256225583
[[ 46.  49.]],-9.994613552525328,-9.994667763950213,-9.994621548938305
[[ 45.  45.]],-9.993972375503407,-9.994015545460023,-9.994031416149443
[[ 42.  41.]],-9.994264850825557,-9.994906665134556,-9.995027762008533
[[ 36.  37.]],-9.993656877829363,-9.99370588855678,-9.994597985183232
[[ 30.  44.]],-9.995355028141107,-9.995342642201175,-9.995310793714212
